song,moods,arousal,valence
/Users/jsgomezc/Data/psilocybin/audio/imperial2/02-7GcRY8dmCUybCf4oAlsYq8- Ex Confusion - When I Think of You.mp3,"['calm', 'cool', 'dream', 'emotional', 'meditative', 'nature', 'relaxing', 'sad', 'slow', 'soundscape', 'space', 'uplifting']",2.3212203979492188,3.611856698989868
/Users/jsgomezc/Data/psilocybin/audio/imperial2/14-6nepoejYWkDirKBSXuM0zE- Lena Chamamyan - Sareri Hovin Mernem.mp3,"['calm', 'dream', 'emotional', 'meditative', 'nature', 'relaxing', 'sad', 'slow', 'soft', 'soundscape']",1.7274303436279297,2.6913368701934814
/Users/jsgomezc/Data/psilocybin/audio/imperial2/20-75MttFfVzWiLsPCQ190pdt- Jacob David - Omkuld.mp3,"['calm', 'documentary', 'drama', 'emotional', 'epic', 'film', 'hopeful', 'inspiring', 'meditative', 'melancholic', 'movie', 'nature', 'relaxing', 'romantic', 'sad', 'soft']",2.684494733810425,4.520010471343994
/Users/jsgomezc/Data/psilocybin/audio/imperial2/00-5oEu4th86WE05AAyeo6l1N- Clem Leek - At the Mercy of Waves.mp3,"['calm', 'documentary', 'dream', 'emotional', 'film', 'meditative', 'nature', 'relaxing', 'romantic', 'sad', 'soft', 'soundscape']",1.7923442125320435,3.3282384872436523
/Users/jsgomezc/Data/psilocybin/audio/imperial2/19-2VUjpdTIN2iKrWnk2CrZVx- Tony Anderson - Immanuel.mp3,"['calm', 'cool', 'dark', 'deep', 'dream', 'meditative', 'nature', 'relaxing', 'soundscape', 'space']",3.599182605743408,3.579524517059326
/Users/jsgomezc/Data/psilocybin/audio/imperial2/35-3bCmDqflFBHijgJfvtqev5- Brian Eno - 11 - Remastered 2004.mp3,"['calm', 'dream', 'emotional', 'hopeful', 'meditative', 'melancholic', 'nature', 'relaxing', 'sad', 'soft', 'soundscape', 'space']",2.038902759552002,3.228078603744507
/Users/jsgomezc/Data/psilocybin/audio/imperial2/07-4WXnIyRbm1BRQDGo71gZVj- Bruno Sanfilippo - Piano Textures2 II.mp3,"['calm', 'dream', 'emotional', 'film', 'hopeful', 'inspiring', 'meditative', 'melancholic', 'nature', 'relaxing', 'romantic', 'sad', 'soft', 'soundscape', 'space']",2.014225482940674,3.3744938373565674
/Users/jsgomezc/Data/psilocybin/audio/imperial2/05-3J9LjSMAaT8byCEriHYP75- Essie Jain - Opening.mp3,"['calm', 'dream', 'emotional', 'hopeful', 'meditative', 'nature', 'relaxing', 'romantic', 'soft', 'soundscape', 'space']",2.179318428039551,3.8001456260681152
/Users/jsgomezc/Data/psilocybin/audio/imperial2/03-53p611MQiSI7krwUDVj5nE- Kyle Bobby Dunn - In Praise Of Tears.mp3,"['calm', 'dream', 'emotional', 'hopeful', 'meditative', 'nature', 'relaxing', 'romantic', 'sad', 'soft', 'soundscape', 'space']",2.1200509071350098,3.650308847427368
/Users/jsgomezc/Data/psilocybin/audio/imperial2/15-4CIoawe38idzunDk7iLCqT- Purl - Waking Up.mp3,"['calm', 'documentary', 'dream', 'emotional', 'film', 'hopeful', 'inspiring', 'meditative', 'nature', 'relaxing', 'romantic', 'sad', 'soft', 'soundscape']",2.380685329437256,3.6054255962371826
/Users/jsgomezc/Data/psilocybin/audio/imperial2/11-4ZCfkuWvuEvzRUZ51rQ5b0-Kathryn Toyama-Echoes of Healing.mp3,"['background', 'calm', 'drama', 'dramatic', 'emotional', 'hopeful', 'inspiring', 'meditative', 'melancholic', 'nature', 'relaxing', 'romantic', 'sad', 'soft']",2.2600269317626953,3.797797441482544
