#,playlist,Song,Artist,Time,BPM,Genres,Parent Genres,Album,Album Date,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC,Duration (s),Duration (m),Duration,phase,process?,link
66,compass_v2,You Don't Know What Love Is,"Cava Menzies,Nick Phillips,Jeff Chambers,Jaz Sawyer",8,100,,,Moment to Moment,1/21/14,40,21,96,38,14,0,10,-12,F Minor,4,3/30/25,4NA4oHib1MnEEE1CxifKhs,Nick Phillips Music,4A,QMDA61337671,481,8.017,0:08:01,return,TRUE,https://open.spotify.com/track/4NA4oHib1MnEEE1CxifKhs
67,compass_v2,Almost Blue,"Cava Menzies,Nick Phillips,Jeff Chambers,Jaz Sawyer",6.8,100,,,Moment to Moment,1/21/14,41,19,98,90,7,0,0,-13,A Minor,4,3/30/25,3Qthkad4TgSftklrlCTi7e,Nick Phillips Music,8A,QMDA61337672,408,6.800,0:06:48,return,TRUE,https://open.spotify.com/track/3Qthkad4TgSftklrlCTi7e
68,compass_v2,Phantoms,"Cava Menzies,Nick Phillips,Jeff Chambers,Jaz Sawyer",7.4,116,,,Moment to Moment,1/21/14,44,28,92,38,19,0,0,-14,F Minor,4,3/30/25,52rcv7RGQnQgiXORMI5arI,Nick Phillips Music,4A,QMDA61337673,442,7.367,0:07:22,return,TRUE,https://open.spotify.com/track/52rcv7RGQnQgiXORMI5arI
1,copenhagen,Spiegel im Spiegel,"Sally Maer,Sally Whitwell",9:20,81,"celtic, minimalism, classical piano","Traditional music, Classical",Classical Chill: Cello,9/20/19,27,1,98,96,4,0,0,-30,F Major,3,3/16/21,2zQQWNhRpLU84KHCb6UJgq,Australian Broadcasting Corp (ABC),7B,AUAB00851011,564,9.400,0:09:24,onset,TRUE,https://open.spotify.com/track/2zQQWNhRpLU84KHCb6UJgq
2,copenhagen,A Fairytale,"Josefine Opsahl,Trine Opsahl",4:31,88,space music,Classical,Unbroken Dreams,8/10/15,24,6,98,88,14,0,0,-23,C Major,4,2/14/21,2Opu7oAPytTFUJ9g3WhLFS,Heart to Heart Records,8B,DKEG31500105,270,4.500,0:04:30,onset,TRUE,https://open.spotify.com/track/2Opu7oAPytTFUJ9g3WhLFS
3,copenhagen,"Sylkje-Per, var.","Nils Økland,Sigbjørn Apeland",3:57,106,"traditional music,",Traditional music,Lysøen (Hommage à Ole Bull),4/15/11,56,1,100,95,18,0,0,-30,D Major,4,6/8/21,252qh21eS71z3trx1n1Ytp,ECM Records,10B,DEB331017914,238,3.967,0:03:58,onset,TRUE,https://open.spotify.com/track/252qh21eS71z3trx1n1Ytp
4,copenhagen,Shah Jahan,Paul Horn,5:40,74,new age,New age,Inside the Taj Mahal I & II,1990-00-00,15,1,99,70,4,0,0,-32,D Major,4,1/30/21,0jw4DxL8ICWm8irhTYE3Sc,Inside Music,10B,US25T0411518,340,5.667,0:05:40,onset,TRUE,https://open.spotify.com/track/0jw4DxL8ICWm8irhTYE3Sc
5,copenhagen,Seven Days Walking / Day 1: Gravity,"Ludovico Einaudi,Federico Mecozzi,Redi Hasa",5:27,121,"neoclassical, classical",Classical,Seven Days Walking (Day 1),3/15/19,27,10,94,92,4,0,10,-22,A Minor,4,2/14/21,6vCAsg5oGCn2EuLP2X8LOK,Decca (UMO) (Classics),8A,ITB281800003,328,5.467,0:05:28,onset,TRUE,https://open.spotify.com/track/6vCAsg5oGCn2EuLP2X8LOK
6,copenhagen,Optimist,Zoë Keating,5:01,138,,,Into The Trees,1/1/10,65,17,71,91,21,0,10,-17,D#/E♭ Major,4,1/30/21,0kUIxT2FcNM1EXpgO7IUW3,020202 Music,5B,USU2C1000003,302,5.033,0:05:02,onset,TRUE,https://open.spotify.com/track/0kUIxT2FcNM1EXpgO7IUW3
7,copenhagen,Escape Artist,Zoë Keating,6:34,76,,,Into The Trees,1/1/10,54,14,83,87,8,0,10,-15,C Major,4,1/30/21,7sXYoFoFoJ28bnjsnoBfvY,020202 Music,8B,USU2C1000002,395,6.583,0:06:35,onset,TRUE,https://open.spotify.com/track/7sXYoFoFoJ28bnjsnoBfvY
